league_id,team_id,min_year,max_year,abbreviation
00,1610612737,1949,2018,Hawks
00,1610612738,1946,2018,Celtics
00,1610612739,1970,2018,Cavaliers
00,1610612740,2002,2018,Pelicans
00,1610612741,1966,2018,Bulls
00,1610612742,1980,2018,Mavericks
00,1610612743,1976,2018,Nuggets
00,1610612744,1946,2018,Warriors
00,1610612745,1967,2018,Rockets
00,1610612746,1970,2018,Clippers
00,1610612747,1948,2018,Lakers
00,1610612748,1988,2018,Heat
00,1610612749,1968,2018,Bucks
00,1610612750,1989,2018,Timberwolves
00,1610612751,1976,2018,Nets
00,1610612752,1946,2018,Knicks
00,1610612753,1989,2018,Magic
00,1610612754,1976,2018,Pacers
00,1610612755,1949,2018,76ers
00,1610612756,1968,2018,Suns
00,1610612757,1970,2018,Blazers
00,1610612758,1948,2018,Kings
00,1610612759,1976,2018,Spurs
00,1610612760,1967,2018,Thunder
00,1610612761,1995,2018,Raptors
00,1610612762,1974,2018,Jazz
00,1610612763,1995,2018,Grizzlies
00,1610612764,1961,2018,Wizards
00,1610612765,1948,2018,Pistons
00,1610612766,1988,2018,Hornets
